t_ns,px,py,pz,qx,qy,qz,qw
1773764619136002284,0.4258537292480469,-0.06053026765584946,3.3573694229125977,-0.012499946169555187,0.9651026725769043,-0.007232666946947575,-0.26147329807281494
1773764619184586393,0.42440271377563477,-0.058741383254528046,3.3569393157958984,-0.01279795728623867,0.9639256596565247,-0.00769585557281971,-0.26575252413749695
1773764619231598175,0.42402219772338867,-0.06169389188289642,3.3624069690704346,-0.013602931052446365,0.9628226161003113,-0.006677028723061085,-0.2697092890739441
1773764619282963059,0.4209728240966797,-0.05810457468032837,3.3591248989105225,-0.01196637935936451,0.9615548849105835,-0.00813022255897522,-0.27423152327537537
1773764619334230786,0.42149055004119873,-0.06265966594219208,3.3602705001831055,-0.0113124530762434,0.9602629542350769,-0.007497414480894804,-0.2787667214870453
1773764619380336430,0.42021918296813965,-0.06170335412025452,3.3607611656188965,-0.012017734348773956,0.9590827822685242,-0.007703892886638641,-0.28276562690734863
1773764619425891297,0.4200785160064697,-0.06338126212358475,3.3622303009033203,-0.012191053479909897,0.9577418565750122,-0.0072089736349880695,-0.28728047013282776
1773764619484756630,0.4247870445251465,-0.06698793172836304,3.358208417892456,-0.012196628376841545,0.9561363458633423,-0.006633080542087555,-0.2925928235054016
1773764619534014010,0.42297112941741943,-0.06592266261577606,3.3589744567871094,-0.011019100435078144,0.954785943031311,-0.007300569675862789,-0.2970002293586731
1773764619584328428,0.42282378673553467,-0.06682958453893661,3.3590593338012695,-0.011584215797483921,0.9533812999725342,-0.006904475390911102,-0.30146685242652893
1773764619632962974,0.4214366674423218,-0.06679648905992508,3.356039047241211,-0.012154849246144295,0.9520002007484436,-0.006655881647020578,-0.30578354001045227
1773764619677039615,0.42088913917541504,-0.06812211871147156,3.3577206134796143,-0.012377051636576653,0.9506469964981079,-0.006656272802501917,-0.3099561631679535
1773764619732955370,0.4185570478439331,-0.06652506440877914,3.3570871353149414,-0.012494383379817009,0.9492946267127991,-0.006925641093403101,-0.3140631914138794
1773764619782675017,0.41670894622802734,-0.06542065739631653,3.3565783500671387,-0.012205664068460464,0.9478498697280884,-0.0073630595579743385,-0.31839829683303833
1773764619825037760,0.4161992073059082,-0.06550103425979614,3.3597254753112793,-0.012108641676604748,0.9465318322181702,-0.007597414776682854,-0.3222935199737549
1773764619882854000,0.4138399362564087,-0.06373023986816406,3.3595352172851562,-0.01215989887714386,0.9451010823249817,-0.00790245458483696,-0.3264562785625458
1773764619928292183,0.4116917848587036,-0.06401598453521729,3.364992380142212,-0.011481404304504395,0.9438239336013794,-0.00798365380614996,-0.33015280961990356
1773764619979759233,0.4111642837524414,-0.06454089283943176,3.368300437927246,-0.011229240335524082,0.9423923492431641,-0.0079770153388381,-0.3342258334159851
1773764620026502159,0.40914225578308105,-0.06156615912914276,3.3675358295440674,-0.011795987375080585,0.940885066986084,-0.008463243953883648,-0.3384147584438324
1773764620082743567,0.4073692560195923,-0.06090270355343819,3.3718416690826416,-0.012293943203985691,0.9395343661308289,-0.008613807149231434,-0.3421255946159363
1773764620132521556,0.4070042371749878,-0.06079106032848358,3.3709511756896973,-0.012037417851388454,0.9378605484962463,-0.008654479868710041,-0.34669551253318787
1773764620179550720,0.40645265579223633,-0.06114445626735687,3.373908042907715,-0.011862361803650856,0.9363824129104614,-0.00892795342952013,-0.350667268037796
1773764620228792380,0.40532398223876953,-0.06066223978996277,3.374760627746582,-0.012250407598912716,0.9347584843635559,-0.00865746196359396,-0.3549670875072479
1773764620282180334,0.40321671962738037,-0.059237219393253326,3.3777341842651367,-0.011621923185884953,0.9333023428916931,-0.009299618192017078,-0.3587830662727356
1773764620332269239,0.40124547481536865,-0.05697465315461159,3.375905752182007,-0.012277957983314991,0.9316036701202393,-0.009453515522181988,-0.3631453812122345
1773764620376636256,0.4006927013397217,-0.05513042211532593,3.376537799835205,-0.012050040997564793,0.929896891117096,-0.010097990743815899,-0.3674842119216919
1773764620431394789,0.39737915992736816,-0.05543877184391022,3.380650043487549,-0.012565403245389462,0.9285266399383545,-0.00957583636045456,-0.3709295690059662
1773764620476189608,0.4071890115737915,-0.06916120648384094,3.3710947036743164,-0.011179640889167786,0.9258411526679993,-0.007459660526365042,-0.37767401337623596
